r2,rmse,mae,spearman,pearson,n_samples,drug_id
0.3683655261993408,0.13448696074244262,0.1061842143535614,0.5940738911694805,0.6774426,180,1195
0.35019659996032715,0.14729433564012087,0.11438913643360138,0.643202789389532,0.6384844,184,1494
0.3491835594177246,0.2313914658887098,0.18122361600399017,0.6723437455508414,0.6362245,174,1372
0.31709855794906616,0.14016064828331445,0.09602437913417816,0.45493482309124766,0.68994087,179,303
0.3120768666267395,0.20826250700241122,0.167601078748703,0.6241819949817414,0.62030125,182,1378
0.3116263151168823,0.20219249521656002,0.16482317447662354,0.5991922215996122,0.6120951,182,1460
0.30218809843063354,0.1692983983899465,0.1387884020805359,0.4650146299172777,0.60099405,94,1166
0.2915588617324829,0.16204105799059515,0.13193899393081665,0.497591899625798,0.5430395,176,219
0.2843581438064575,0.15235839675528243,0.1088879406452179,0.4516670940039088,0.58723634,178,301
0.28328561782836914,0.16857404652943508,0.1381419599056244,0.5921037571250415,0.5942917,182,1459
0.2738698124885559,0.12331561985578962,0.09263616055250168,0.4232805539265615,0.6121468,180,256
0.2697124481201172,0.15350289619614976,0.10850117355585098,0.5390909090909092,0.5800702,175,1242
0.2588985562324524,0.14531490159870156,0.11214303970336914,0.4358504383487122,0.5833027,179,331
0.252988338470459,0.2150997543960031,0.17723439633846283,0.3813999559762272,0.5266301,176,302
0.24837177991867065,0.1296341386997451,0.10441483557224274,0.5778141300657427,0.59091973,180,1198
0.2483464479446411,0.2436699029561996,0.19792871177196503,0.527221400725904,0.5708943,172,461
0.24601715803146362,0.2260956228846951,0.19151748716831207,0.4645982830728594,0.5329125,176,474
0.2355402708053589,0.10865130014448088,0.08617500960826874,0.5178252686539979,0.5617499,181,1012
0.23164957761764526,0.2399542113051827,0.19447068870067596,0.49503231059395836,0.5085618,167,268
0.22466719150543213,0.22943591787509257,0.19618430733680725,0.38399602523169307,0.49459997,178,299
0.22447365522384644,0.124200330574205,0.09810197353363037,0.5375034000795095,0.6004881,179,264
0.22309422492980957,0.3065399441990628,0.266297847032547,0.4685311881666796,0.49505794,172,1248
0.21127986907958984,0.12541523896822035,0.10051817446947098,0.5249574264156277,0.53057575,182,1007
0.20010167360305786,0.16926930072286223,0.13421806693077087,0.49661409302756254,0.5000172,180,1026
0.1964157223701477,0.20982026111428725,0.17258867621421814,0.5280072931901805,0.46987382,166,371
0.19512546062469482,0.1460984231844016,0.10812530666589737,0.4758212702038129,0.5593207,180,252
0.1917521357536316,0.17136025835840699,0.13722680509090424,0.48113112798945445,0.5185608,179,382
0.19099950790405273,0.17593778951529607,0.13733024895191193,0.4839027074620295,0.4600495,176,374
0.19075345993041992,0.22886052146848962,0.19048243761062622,0.4815808329601434,0.4995607,175,317
0.18823230266571045,0.1722853541159545,0.13744483888149261,0.49173866048420584,0.46280494,183,1386
0.18623924255371094,0.13344797105599243,0.0936017781496048,0.38987211539450806,0.62926185,180,305
0.184706449508667,0.24852806635788557,0.2071252018213272,0.3840147783251232,0.45406577,175,346
0.18274694681167603,0.1682681863419639,0.1315876692533493,0.3920820601458893,0.51352954,180,223
0.17976969480514526,0.14149432232126521,0.11366638541221619,0.5548466958674538,0.51554984,177,432
0.1791955828666687,0.22398153543418708,0.16790150105953217,0.4175283452260756,0.45140857,178,1490
0.17832869291305542,0.16897620762043422,0.13746829330921173,0.41483440383649867,0.4566277,177,438
0.17691707611083984,0.15350949102867595,0.12488404661417007,0.47873747201473016,0.4583486,179,1004
0.1768513321876526,0.15684734246007845,0.12319127470254898,0.40633970184264945,0.44564873,180,1024
0.17357349395751953,0.1767560263274765,0.14314070343971252,0.40995117716338153,0.44440976,178,273
0.1723693609237671,0.1787638455644043,0.1474718153476715,0.4551086967704764,0.46516365,180,1031
0.16549164056777954,0.15014478480920085,0.11315152794122696,0.46717464829790345,0.49820513,178,1016
0.16349178552627563,0.11730608503263106,0.08254293352365494,0.3174665884749529,0.56196445,180,306
0.16295820474624634,0.17255479045275382,0.14045284688472748,0.3628327245994113,0.4279126,178,272
0.16205668449401855,0.18662555755115476,0.14382825791835785,0.30552177536343716,0.46644652,180,283
0.1615239381790161,0.15209691518292515,0.12512749433517456,0.5257046010922102,0.5147197,178,442
0.15849381685256958,0.17922796699615798,0.1441417932510376,0.3603163643211349,0.43458688,179,276
0.15687429904937744,0.16947225300036503,0.1282426416873932,0.4336450944699014,0.49239668,179,196
0.15645140409469604,0.1448920553431548,0.11582016944885254,0.4706876796013316,0.45393205,178,235
0.15616190433502197,0.1610934527326888,0.11328662186861038,0.5484108317435006,0.53713876,174,1014
0.15281420946121216,0.1653817585914207,0.11822868883609772,0.4718733228302835,0.4916826,177,1259
0.14948338270187378,0.17010469029418593,0.1357579380273819,0.37949285606473165,0.43440294,177,165
0.14724326133728027,0.18345725281339653,0.1303844153881073,0.5744891245604005,0.54390854,183,1392
0.14265161752700806,0.18029431834855808,0.14635522663593292,0.39964584218727855,0.4147122,181,1430
0.14243781566619873,0.14044995804922197,0.10727174580097198,0.39210675226601643,0.49324328,180,179
0.1409057378768921,0.22149594291874417,0.19021518528461456,0.3653095074202413,0.42924705,178,328
0.13825207948684692,0.1242139584438904,0.08540745079517365,0.2989831146820664,0.46287295,179,222
0.13242322206497192,0.14899709276188908,0.11573349684476852,0.4322958397534669,0.41268677,176,1057
0.1295287013053894,0.20313229914535397,0.1659010350704193,0.392345592060677,0.47360986,178,344
0.12781399488449097,0.09966155162906923,0.07540431618690491,0.3691377398363777,0.51794094,179,152
0.12480741739273071,0.18894746488552241,0.155819833278656,0.37123974257630105,0.37228823,178,136
0.1243792176246643,0.1901509813034883,0.159201979637146,0.35786213639540865,0.37485394,178,134
0.12185752391815186,0.17326083464617853,0.14342835545539856,0.36958897456135026,0.3953735,181,1402
0.11914980411529541,0.1872830327695629,0.14878450334072113,0.43818760069466234,0.43291202,179,1266
0.11835664510726929,0.16147868287122247,0.10384273529052734,0.12167028675331289,0.43955478,172,226
0.11646372079849243,0.11938122781141516,0.08846595883369446,0.564481224355534,0.518514,177,449
0.11261147260665894,0.10272178717829933,0.07809875160455704,0.3234600335866762,0.42410555,177,1059
0.10816013813018799,0.16770427419556083,0.14340756833553314,0.38593446951844235,0.40905213,178,140
0.10725659132003784,0.2135000954070537,0.13818645477294922,0.38414587254366256,0.4274369,181,1427
0.10508817434310913,0.13114775722775124,0.09828692674636841,0.29714469971087765,0.47861046,177,1058
0.1047167181968689,0.1252701343830064,0.09716180711984634,0.5199849511958923,0.49790555,182,1393
0.10349136590957642,0.2873054924492675,0.2541740834712982,0.3284863412449619,0.32708982,175,135
0.10268837213516235,0.205610909254558,0.17378877103328705,0.3253384032198177,0.34715512,178,182
0.10245448350906372,0.06965701551025294,0.05867403373122215,0.29966679007774893,0.39724028,74,106
0.10058534145355225,0.1867035001648353,0.15760061144828796,0.3990906494001143,0.38419703,177,1451
0.09837222099304199,0.12763358202044575,0.09303151816129684,0.1571736446759986,0.39207786,179,225
0.09274357557296753,0.15349154416948094,0.11976113170385361,0.39480739599383674,0.4143486,176,159
0.0914495587348938,0.11553473444923991,0.08869393169879913,0.4840062331775039,0.49074435,181,1187
0.09050089120864868,0.15162153716429747,0.12283056229352951,0.3683714517937796,0.34164748,180,1441
0.08895784616470337,0.12678604869491408,0.10139011591672897,0.32729269976774833,0.40320924,179,308
0.08481740951538086,0.16418194396460337,0.12194405496120453,0.28422070640040326,0.40922508,180,1136
0.08415347337722778,0.13149960319201717,0.08194904774427414,0.32353429259506605,0.5092638,181,1453
0.0818490982055664,0.14784908368188246,0.1081373393535614,0.4865116467326412,0.47652394,181,1413
0.08171200752258301,0.15530673455756816,0.11259710788726807,0.40829449468605,0.41310897,180,1006
0.07998865842819214,0.1585558972966893,0.12021314352750778,0.2999979762410701,0.3805495,181,1022
0.0794559121131897,0.0756212562282631,0.05137556046247482,0.28888355035835706,0.44618642,180,292
0.07743823528289795,0.13036194244155433,0.0780206024646759,0.4252062588904694,0.37808597,75,5
0.07705426216125488,0.13928500146801345,0.10906600952148438,0.33386748844375963,0.36159942,176,437
0.076271653175354,0.20586580052925008,0.16852113604545593,0.2821662975829141,0.32803127,172,274
0.07622593641281128,0.15247719984140762,0.11055582761764526,0.39231895884334533,0.47798485,179,380
0.07612913846969604,0.108464242532976,0.07289981096982956,0.3348251489243495,0.47969356,180,261
0.07519429922103882,0.17964640437678372,0.1130741760134697,0.4488019177546632,0.48732457,180,1416
0.07491117715835571,0.18952889254645627,0.15805450081825256,0.44755275823768964,0.46403033,74,11
0.07328528165817261,0.225535589437242,0.18830165266990662,0.337459494860332,0.33144167,174,180
0.07078659534454346,0.1321368985462006,0.08115652203559875,0.33879440723479115,0.5242592,180,260
0.0691753625869751,0.12195348107862082,0.07532602548599243,0.10351431159406621,0.46728346,176,412
0.06627720594406128,0.11116111090040007,0.09126511961221695,0.3767957650701986,0.37925488,179,245
0.06609070301055908,0.12581684278306843,0.08120235055685043,0.29151517022130313,0.38144666,180,295
0.06368428468704224,0.12523198208155847,0.09111396223306656,0.14781034879584876,0.35947904,179,275
0.06189173460006714,0.1328231302382843,0.11101507395505905,0.2994912464462068,0.36378038,163,1364
0.06151092052459717,0.10156931304087805,0.08017054945230484,0.4863724813257172,0.5402329,179,407
0.05937319993972778,0.105414897804284,0.08765504509210587,0.23927477017364662,0.30137822,177,176
0.055867552757263184,0.13384750231493675,0.10677865892648697,0.2951234396911411,0.31807977,177,208
0.05581212043762207,0.12221846173593093,0.08510962128639221,0.254261093125119,0.3566453,177,224
0.05279970169067383,0.11073918330105631,0.08264819532632828,0.4122882642219658,0.3858602,181,1401
0.0522458553314209,0.11717907160013362,0.07780454307794571,0.26305944385161006,0.38813707,179,228
0.05158495903015137,0.08638455059393292,0.06180053949356079,0.17454516018051927,0.24596232,181,1037
0.049079179763793945,0.17599199166013746,0.11140968650579453,0.21909229549763365,0.38309643,173,431
0.047990620136260986,0.13955202308993847,0.10155440121889114,0.3046026854501431,0.40933275,176,381
0.04639989137649536,0.19882785557277088,0.1708853393793106,0.23416130367293697,0.24443556,178,201
0.044761836528778076,0.11647923936658522,0.08383721113204956,0.21068775762140898,0.2849036,179,257
0.04456961154937744,0.11993308418771248,0.09648570418357849,0.36767045109586544,0.37640625,181,1184
0.04283851385116577,0.11840217810964015,0.06796685606241226,0.12106627175120328,0.26554763,73,30
0.041624248027801514,0.07861359223014026,0.053327105939388275,0.29627457637581406,0.27440795,180,287
0.0398026704788208,0.11660896785741168,0.09266248345375061,0.2814577341369435,0.32047978,170,1527
0.038506269454956055,0.15314954614473958,0.10183698683977127,0.13166661522474973,0.29822254,180,1011
0.037447333335876465,0.12092649152835304,0.07837890088558197,0.12373381393701013,0.23556799,178,1192
0.03660023212432861,0.20296141566415482,0.12571962177753448,0.19102887176902586,0.28649762,171,1373
0.03546273708343506,0.07225754409147918,0.05936729535460472,0.19392573844871755,0.228413,180,310
0.03496068716049194,0.11128200027241822,0.08758115023374557,0.21598162426891707,0.48414668,181,1008
0.034121692180633545,0.1694775450149619,0.11470040678977966,0.18750825445740701,0.27244776,176,184
0.03026813268661499,0.12177688044847644,0.08466062694787979,0.19586170650217122,0.40774235,178,155
0.02956712245941162,0.14338791820336105,0.10427504777908325,0.37043755432591186,0.4085289,178,362
0.02924966812133789,0.2249817042727075,0.18620139360427856,0.31056338028169006,0.3402861,71,83
0.028587758541107178,0.18505202108099938,0.12218747287988663,0.22813772676786373,0.24584666,74,56
0.02807629108428955,0.13990254391628348,0.11612118780612946,0.4508925172587631,0.43414766,180,1149
0.0275307297706604,0.07196114485568632,0.05217837914824486,0.16237538195623322,0.17698522,180,1133
0.02734971046447754,0.15312975686333508,0.11242656409740448,0.09849069415722707,0.23250286,180,300
0.027320265769958496,0.25220787122053784,0.1721685230731964,0.6326600284495021,0.52444136,75,51
0.027228593826293945,0.08722929632922669,0.0496005043387413,0.09136865197726439,0.42135438,178,236
0.026892483234405518,0.11054172840876364,0.06778465211391449,0.2690638599956789,0.19646074,180,1135
0.025783300399780273,0.11055805500232026,0.08616600185632706,0.30057298918815084,0.29539642,182,1394
0.02577221393585205,0.12884400049574302,0.10089530050754547,0.34780085805117444,0.3506712,180,1379
0.024928808212280273,0.1275599721034771,0.09682013839483261,0.257912558675689,0.29681888,163,1368
0.022166073322296143,0.10326945976996232,0.07873081415891647,0.16308380702669054,0.24416691,168,1054
0.021561086177825928,0.12705049448765288,0.09714129567146301,0.15311366160681225,0.14902364,74,71
0.018323540687561035,0.06324915866942483,0.04986022040247917,0.14283083399105498,0.15183693,181,1464
0.0172232985496521,0.10696350184551305,0.08282061666250229,0.38929131881237833,0.4739052,179,342
0.017109334468841553,0.11375104565716204,0.0804663747549057,0.05167070217917676,0.15859628,176,156
0.01614522933959961,0.17549947831356186,0.11676523834466934,0.28534850640113796,0.26188326,75,55
0.013731598854064941,0.1119923727062598,0.08051660656929016,0.015320481790483783,0.16442934,174,1066
0.01206362247467041,0.08538319352943051,0.06804263591766357,0.03799607390767611,0.1526589,181,1183
0.011373460292816162,0.13769243115596108,0.10856602340936661,0.30784813712990505,0.30672473,181,1128
0.01137322187423706,0.07058163302543202,0.061499156057834625,0.28557610241820763,0.31484684,75,64
0.01130223274230957,0.12394346452207602,0.09328781068325043,0.36209904276202615,0.30834445,181,1032
0.01101464033126831,0.06704098964726778,0.04879635572433472,0.1321406900592137,0.1485488,179,291
0.010671794414520264,0.29037025115407317,0.24900668859481812,0.3100286154523443,0.2963331,176,190
0.010577917098999023,0.16493749596956053,0.1110120341181755,0.09247610522958528,0.22101961,180,282
0.009251654148101807,0.08099835517988174,0.06525834649801254,0.1593712559910784,0.5310233,180,1371
0.005653202533721924,0.09678774391900066,0.07006296515464783,0.13500698196830793,0.13567698,181,1422
0.00545114278793335,0.12246451623606419,0.09447166323661804,0.27499843073253405,0.25609952,178,167
0.004702270030975342,0.07842795224136341,0.052407942712306976,0.26361718983096183,0.30322737,180,203
0.004699826240539551,0.14350415981930836,0.09770307689905167,0.35435411733754274,0.4325485,181,1015
0.004596590995788574,0.20034687538785423,0.17078706622123718,0.28568678267308395,0.35838783,74,87
0.00452500581741333,0.15631061212794486,0.1334058940410614,0.3260677619847302,0.32708368,177,194
0.004183471202850342,0.09903308174374884,0.07331397384405136,0.04301151253420069,0.19651453,182,1001
0.00344926118850708,0.12068651541837225,0.08551809936761856,0.3327914129684263,0.41199312,179,356
0.0033626556396484375,0.08818774863051924,0.060477666556835175,0.2817881933904033,0.24427141,181,1070
0.002958357334136963,0.11850335535422542,0.0879690945148468,0.12879534258844605,0.12727773,175,177
0.001428842544555664,0.12194460690629218,0.08542035520076752,0.019671937614366013,0.14082946,166,1053
6.258487701416016e-06,0.1444568120156818,0.09110953658819199,0.09865653295476187,0.048008397,177,293
-0.0016821622848510742,0.16064825894283194,0.13162840902805328,0.24206615606072374,0.2799569,178,200
-0.0023518800735473633,0.11604293732943344,0.07810107618570328,0.06940444118875018,0.1279425,180,1445
-0.005174756050109863,0.06794838997756784,0.05517134442925453,0.14209076857387698,0.11886725,182,1005
-0.005627155303955078,0.12024985329664643,0.08979476243257523,0.2102381316831034,0.20612727,140,1369
-0.006533622741699219,0.08256473939383209,0.06248405948281288,0.07177669802719142,0.084480375,178,153
-0.007952213287353516,0.15787948069817279,0.12289940565824509,0.2995875220362389,0.33490568,178,173
-0.008283376693725586,0.16941650920118803,0.13568153977394104,0.20917948741720016,0.22109097,173,170
-0.00832676887512207,0.06608925217909861,0.05456633120775223,0.35442246159860896,0.360887,180,294
-0.01005244255065918,0.1487724640657205,0.10068196058273315,0.09293702480529234,0.20441273,180,326
-0.01025235652923584,0.14833540919231863,0.11354470252990723,0.19515897895208242,0.2352888,175,1232
-0.010413408279418945,0.13688856205748132,0.09426035732030869,0.10257987571401668,0.2605254,179,229
-0.013277411460876465,0.14075119263963554,0.09614798426628113,0.29369579572969406,0.29889202,176,363
-0.01628565788269043,0.15028466170109653,0.09655013680458069,-0.06888678293735903,0.08954177,163,1363
-0.01652204990386963,0.11667696289697346,0.08558899909257889,0.1964510467057665,0.20851593,141,1370
-0.019026637077331543,0.1804809983130554,0.11083360761404037,0.25325435024065157,0.1484317,74,29
-0.01930224895477295,0.11798089782744933,0.07768564671278,0.07451300399640115,0.3324239,179,238
-0.01946282386779785,0.11080777128573778,0.08893837779760361,0.25722133584070306,0.29320803,148,1239
-0.019675493240356445,0.17578126589457121,0.12664642930030823,0.27915942936871774,0.33067453,174,1060
-0.020128250122070312,0.09228212361676323,0.061605993658304214,0.022369171449870662,0.065811925,182,1432
-0.020157814025878906,0.13841514597442486,0.10185597836971283,0.1268663943497704,0.32172853,175,428
-0.020988106727600098,0.12288048635688559,0.09093401581048965,0.2987597999423361,0.33113647,178,178
-0.021449685096740723,0.19185571059458637,0.12755921483039856,0.45574809805579036,0.46699056,169,1526
-0.022298574447631836,0.1305831941184649,0.09537655115127563,0.2760864561755905,0.2701522,179,366
-0.02391791343688965,0.15512217345302295,0.12352852523326874,0.21755668060752806,0.21289612,176,164
-0.0248032808303833,0.07703956333783286,0.0604667142033577,0.11973620584997478,0.13956025,180,1219
-0.024868369102478027,0.07471474439409241,0.058792486786842346,0.12841559913383116,0.10910709,181,1188
-0.025754451751708984,0.19448508477022103,0.16130025684833527,0.06469105645213628,0.068596214,178,133
-0.02633059024810791,0.17529258090430577,0.12333028018474579,0.17220483641536272,0.2538699,75,32
-0.027861714363098145,0.1662230990361394,0.11319246888160706,-0.25761931663632753,-0.095197864,179,1377
-0.027886390686035156,0.1235425177932688,0.08706751465797424,0.1502406516105146,0.24158475,74,127
-0.027966618537902832,0.16338810937547635,0.1323070228099823,0.3459212637294829,0.34990382,73,60
-0.031375765800476074,0.0875809086808964,0.07464024424552917,0.2991285739271788,0.2504979,180,1236
-0.03313708305358887,0.12431767621107119,0.09313701838254929,0.04471084028588513,0.036174364,174,476
-0.033332228660583496,0.08748453953089286,0.07344487309455872,0.4076813655761024,0.3974023,75,45
-0.034076690673828125,0.13295373699636015,0.09477853775024414,0.28363149415186323,0.3881774,179,1254
-0.03490173816680908,0.09278128741332006,0.06922440230846405,0.38820744100690785,0.36000416,177,478
-0.03582024574279785,0.20728522143735392,0.1381327211856842,0.2793706293706294,0.30608663,65,3
-0.035956621170043945,0.09921846633780473,0.08170418441295624,0.3084988334225245,0.35339788,178,172
-0.04192066192626953,0.10959698085629152,0.07857244461774826,0.008362315650451245,0.24579863,176,416
-0.04521620273590088,0.1728027673588161,0.11270114034414291,-0.14105505689549944,-0.019796664,181,1428
-0.04594159126281738,0.10196098684640446,0.07159110903739929,0.13734355062792244,0.3043841,181,1036
-0.0471041202545166,0.10658555897219998,0.08365081995725632,0.09004912191175914,0.11854631,180,262
